X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
27.0,27.0,train,0.0059296590213936155,47.048699632428644,0.6282061507072567
28.0,28.0,train,0.005197223333186727,12.927261750919001,0.5798747559510581
29.0,29.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
30.0,30.0,train,0.006049221020130651,63.877523612611704,0.6355499294871088
31.0,31.0,train,0.006017456089520536,54.82401279766586,0.633613121836794
32.0,32.0,train,0.005340538872208276,16.609355061835487,0.5898022300661533
33.0,33.0,train,0.006065166310458469,64.48386115404685,0.6365183008792014
34.0,34.0,train,0.00554103304114862,26.487563443481225,0.603298069435888
35.0,35.0,train,0.006078486154395242,65.09167457659417,0.6373252539079459
36.0,36.0,train,0.00520863706863257,13.447839732971437,0.5806741155416606
37.0,37.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
38.0,38.0,train,0.007223943225371824,87.93760234588481,0.700421396532962
39.0,39.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
40.0,40.0,train,0.009677687833961375,98.06445983602713,0.8010710017174187
41.0,41.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
42.0,42.0,train,0.006482015480259677,70.15290127261918,0.6609410452438977
43.0,43.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
44.0,44.0,train,0.006049221020130651,63.877523612611704,0.6355499294871088
45.0,45.0,train,0.005634188791038487,28.719977511153594,0.6094166705917852
46.0,46.0,train,0.00554103304114862,26.487563443481225,0.603298069435888
47.0,47.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
48.0,48.0,train,0.009677687833961375,98.06445983602713,0.8010710017174187
49.0,49.0,train,0.005634188791038487,28.719977511153594,0.6094166705917852
50.0,50.0,train,0.00554103304114862,26.487563443481225,0.603298069435888
51.0,51.0,train,0.007223943225371824,87.93760234588481,0.700421396532962
52.0,52.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
53.0,53.0,train,0.006507661517797434,72.75015231299848,0.6623888689736197
54.0,54.0,train,0.005304343681014882,16.075372117533412,0.5873173502679245
55.0,55.0,train,0.00554103304114862,26.487563443481225,0.603298069435888
56.0,56.0,train,0.005448222214469665,18.234722633053813,0.5971068071868202
57.0,57.0,train,0.006017456089520536,54.82401279766586,0.633613121836794
58.0,58.0,train,0.006009540953680301,54.222636757703754,0.6331289113379855
59.0,59.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
60.0,60.0,train,0.006499101584139533,72.09938200875544,0.6619063143940147
61.0,61.0,train,0.005634188791038487,28.719977511153594,0.6094166705917852
62.0,62.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
63.0,63.0,train,0.00730041198875997,90.83473821014354,0.704219582418099
64.0,64.0,train,0.006009540953680301,54.222636757703754,0.6331289113379855
65.0,65.0,train,0.0056552396758539234,33.230165436121965,0.6107861977336303
66.0,66.0,train,0.0059296590213936155,47.048699632428644,0.6282061507072567
67.0,67.0,train,0.0057781345441325176,38.92774728334528,0.6186861751036103
68.0,68.0,train,0.00573771474525788,37.20215964270243,0.6161057506564438
