_id,species,taxonomicStatus,acceptedNameUsage,scientificNameAuthorship,kingdom,phylum,class,order,family,genus,specificEpithet,nameAccordingTo,taxVerifSource,sppInCol,recordsVisualizationPrivileges,speciesInCountry,validName,bmClass,invasive,endemic,iucn,cites,amenazaNacional,taxID,migratoryType,iucnSpeciesID,uploadUser,uploadDate
ObjectId(596d7598a7180311acf9f187),Centropogon solanifolius,pending,Centropogon solanifolius,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,solanifolius,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,967,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(596d7598a7180311acf9f188),Centropogon warscewiczii,pending,Centropogon warscewiczii,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,warscewiczii,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,true,NE,,NE,968,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(596d7598a7180311acf9f189),Centropogon yarumalensis,pending,Centropogon yarumalensis,,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Campanulaceae,Centropogon,yarumalensis,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,true,NE,,NE,969,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c7bc875e0e140c003060),Centrosema macrocarpum,pending,Centrosema macrocarpum,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Centrosema,macrocarpum,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,LC,,NE,970,,19891502,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925c7bc875e0e140c003061),Centrosema plumieri,pending,Centrosema plumieri,,Plantae,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Centrosema,plumieri,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,true,true,plantas,false,false,NE,,NE,971,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925cd5d875e0e140c003f2e),Ceratochloa pitensis,pending,Ceratochloa pitensis,,Plantae,Magnoliophyta,Liliopsida,Poales,Poaceae,Ceratochloa,pitensis,"Bernal R, Gradstein SR, Celis M. (eds.). (2015). Catálogo de plantas y líquenes de Colombia. Instituto de Ciencias Naturales, Universidad Nacional de Colombia, Bogotá.",Record author,false,0,false,true,plantas,false,false,NE,,NE,975,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925cb09875e0e140c003971),Cercomacra nigricans,pending,Cercomacra nigricans,,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Cercomacra,nigricans,"Avendaño JE, Bohórquez CI, Roselli L, Arzuza-Buelvas D, Estela FA, Cuervo AM, Stiles FG, Renjifo LM. (2017). Lista de chequeo de las aves de Colombia: Una síntesis del estado de conocimiento desde Hilty & Brown (1986). Ornitología Colombiana. 16: eA01-1.",Record author,false,0,true,true,aves,false,false,LC,,NE,978,,22701683,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925cb09875e0e140c003972),Cercomacroides parkeri,pending,Cercomacroides parkeri,,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Cercomacroides,parkeri,"Avendaño JE, Bohórquez CI, Roselli L, Arzuza-Buelvas D, Estela FA, Cuervo AM, Stiles FG, Renjifo LM. (2017). Lista de chequeo de las aves de Colombia: Una síntesis del estado de conocimiento desde Hilty & Brown (1986). Ornitología Colombiana. 16: eA01-1.",Record author,false,0,true,true,aves,false,true,LC,,NE,979,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925cb0a875e0e140c003973),Cercomacra tyrannina,pending,Cercomacroides tyrannina,,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Cercomacroides,tyrannina,"Avendaño JE, Bohórquez CI, Roselli L, Arzuza-Buelvas D, Estela FA, Cuervo AM, Stiles FG, Renjifo LM. (2017). Lista de chequeo de las aves de Colombia: Una síntesis del estado de conocimiento desde Hilty & Brown (1986). Ornitología Colombiana. 16: eA01-1.",Record author,false,0,true,true,aves,false,false,LC,,NE,980,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
ObjectId(5925ce83875e0e140c0041ca),Cercosaura vertebralis,pending,Phollidobolus vertebralis,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Phollidobolus,vertebralis,"The Reptile DataBase, 2018.",Record author,false,0,true,true,reptiles,false,false,LC,,NE,981,,,jhan-uamoreno,2018-05-30T09:00:00.000Z
